,article_size,summary_size,prompt_tokens,completion_tokens,total_tokens,status,lang,delta,id
1045,1197,252,1139,120,1259,200,ru,2.378294,1484
1046,2679,616,1200,154,1354,200,en,3.912787,1485
1047,1892,404,1004,101,1105,200,en,3.723018,1486
1048,3122,594,1327,148,1475,200,en,6.335377,1487
1049,257,70,703,30,733,200,ru,1.384896,1481
1050,2673,386,1201,96,1297,200,en,2.937612,1489
1051,4730,752,1726,188,1914,200,en,5.424485,1490
1052,7718,1700,2462,425,2887,200,en,12.20476,1491
1053,5958,905,2042,226,2268,200,en,5.574982,1492
1054,3854,618,1515,154,1669,200,en,4.696781,1493
1055,2838,594,1242,148,1390,200,en,4.59017,1496
1056,2269,437,1098,109,1207,200,en,3.029251,1497
1057,4810,653,1733,163,1896,200,en,4.099134,1498
1058,2755,400,1219,100,1319,200,en,2.892889,1499
1059,6007,736,2035,184,2219,200,en,5.220348,1500
1060,5258,906,1869,226,2095,200,en,5.641466,1501
1061,2820,529,1246,132,1378,200,en,4.557789,1502
1062,4730,763,1726,190,1916,200,en,5.916094,1490
1063,5958,969,2042,242,2284,200,en,5.955487,1492
1064,1108,243,1087,108,1195,200,ru,3.139502,1504
1065,944,283,1001,126,1127,200,ru,3.906673,1505
1066,707,157,909,68,977,200,ru,1.960335,1506
1067,1035,429,1061,195,1256,200,ru,5.037904,1507
1068,1158,374,1118,170,1288,200,ru,3.910979,1508
1069,530,102,829,44,873,200,ru,2.000331,1509
1070,1401,407,1231,186,1417,200,ru,4.713189,1510
1071,866,287,984,134,1118,200,ru,3.307367,1511
1072,726,343,923,155,1078,200,ru,5.160172,1512
1073,1669,471,1338,217,1555,200,ru,5.249674,1513
1074,1170,332,1130,154,1284,200,ru,3.945719,1514
1075,792,270,955,122,1077,200,ru,3.979303,1515
1076,1664,439,1330,197,1527,200,ru,5.998366,1516
1077,949,551,1019,249,1268,200,ru,6.38514,1517
1078,1048,157,1070,73,1143,200,ru,2.110962,1542
1079,850,353,981,160,1141,200,ru,4.029751,1518
1080,1063,374,1077,173,1250,200,ru,3.83849,1519
1081,1473,308,1256,139,1395,200,ru,4.54352,1520
1082,906,192,994,82,1076,200,ru,2.569806,1521
1083,1200,397,1140,177,1317,200,ru,4.779919,1522
1084,1793,460,1409,212,1621,200,ru,5.075035,1526
1085,1685,388,1343,172,1515,200,ru,5.252275,1527
1086,7542,769,2420,192,2612,200,en,5.166689,1528
1087,7433,753,2390,188,2578,200,en,4.868081,1529
1088,4349,836,1618,209,1827,200,en,5.635417,1530
1089,5679,561,1954,140,2094,200,en,4.717126,1531
1090,3865,545,1499,136,1635,200,en,4.234379,1532
1091,3958,570,1521,142,1663,200,en,4.801292,1533
1092,3914,619,1509,154,1663,200,en,4.551205,1534
1093,2709,595,1207,148,1355,200,en,4.914965,1535
1094,8717,1148,2709,287,2996,200,en,9.706667,1536
1095,1685,374,1343,166,1509,200,ru,5.597995,1527
1096,7542,1048,2420,262,2682,200,en,7.243217,1528
1097,7433,677,2390,169,2559,200,en,4.38141,1529
1098,4349,767,1618,192,1810,200,en,5.333776,1530
1099,3865,573,1499,143,1642,200,en,4.522973,1532
1100,2709,593,1207,148,1355,200,en,4.376232,1535
1101,1481,352,1267,155,1422,200,ru,4.139072,1543
1102,1755,431,1389,196,1585,200,ru,5.055343,1544
1103,1027,499,1043,229,1272,200,ru,5.493967,1545
1104,631,137,883,63,946,200,ru,1.830108,1546
1105,3063,512,1297,128,1425,200,en,4.305941,1563
1106,1755,620,1389,279,1668,200,ru,6.463908,1544
1107,631,139,883,64,947,200,ru,2.02814,1546
1108,1298,435,1185,201,1386,200,ru,5.651862,1547
1109,468,313,794,139,933,200,ru,5.334792,1548
1110,2049,435,1519,196,1715,200,ru,5.960153,1549
1111,2263,161,1621,74,1695,200,ru,2.24362,1550
1112,4043,818,2454,377,2831,200,ru,8.957355,1551
1113,3048,610,1983,277,2260,200,ru,7.162898,1552
1114,20248,1105,9673,493,10166,200,ru,13.540411,1553
1115,2923,362,1888,163,2051,200,ru,3.75935,1558
1116,2763,669,1870,310,2180,200,ru,6.168261,1559
1117,468,253,794,110,904,200,ru,4.007185,1548
1118,2049,446,1519,201,1720,200,ru,5.70223,1549
1119,2263,599,1621,273,1894,200,ru,7.549081,1550
1120,3048,549,1983,248,2231,200,ru,7.378969,1552
1121,1051,430,794,107,901,200,en,3.398515,1564
1122,6617,826,2186,206,2392,200,en,6.648399,1565
1123,3465,600,1399,150,1549,200,en,4.19198,1566
1124,1346,267,1186,117,1303,200,ru,3.255874,1567
1125,2566,543,1757,247,2004,200,ru,6.05394,1569
1126,475,236,806,106,912,200,ru,3.273634,1570
1127,1450,336,1246,152,1398,200,ru,3.719602,1571
1128,3304,523,1384,130,1514,200,en,4.855508,1595
1129,6448,619,2165,154,2319,200,en,5.64985,1596
1130,4098,525,1567,131,1698,200,en,4.378416,1597
